method	sim_method	rep	panel_ancestry	panel_n	trait	h2	p_causal	effect_dist	metric	value	n	n_cases	n_controls
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	AUC_raw	0.505394559385188	20000	1899	18101
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	AUC_full	0.535094360678609	20000	1899	18101
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	AUC_null	0.533939323960089	20000	1899	18101
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	AUC_incremental	0.00115503671851924	20000	1899	18101
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	pgs_var_mean	1.99155274356712	20000		
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	pgs_var_median	1.93795008055339	20000		
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	n_chains_total	30			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	n_chains_converged	24			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	chains_used_fallback	0			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	ldsc_failed	0			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	h2_init	0.047979264690503			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	h2_final	0.0702673995401745			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	p_final	0.00665897901878332			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	n_snps_total	623494			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	n_snps_nonzero	623494			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	beta_l2	0.0974423818789094			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	gaussian	n_posterior_samples	600			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	AUC_raw	0.516776600677334	20000	2084	17916
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	AUC_full	0.529054681068702	20000	2084	17916
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	AUC_null	0.523333082643293	20000	2084	17916
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	AUC_incremental	0.00572159842540942	20000	2084	17916
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	pgs_var_mean	2.2202693696928	20000		
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	pgs_var_median	2.18230305640821	20000		
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	n_chains_total	30			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	n_chains_converged	23			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	chains_used_fallback	0			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	ldsc_failed	0			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	h2_init	0.0382717386311427			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	h2_final	0.0838000189162187			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	p_final	0.0056143220868006			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	n_snps_total	623494			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	n_snps_nonzero	623494			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	beta_l2	0.139609625469118			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.001	spikeslab	n_posterior_samples	575			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	AUC_raw	0.522478399491613	20000	1971	18029
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	AUC_full	0.542655711769856	20000	1971	18029
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	AUC_null	0.533519999164771	20000	1971	18029
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	AUC_incremental	0.00913571260508494	20000	1971	18029
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	pgs_var_mean	0.419042593997748	20000		
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	pgs_var_median	0.418608264643979	20000		
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	n_chains_total	30			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	n_chains_converged	20			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	chains_used_fallback	0			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	ldsc_failed	0			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	h2_init	0.019778420477068			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	h2_final	0.0169254872307958			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	p_final	0.00516220897771786			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	n_snps_total	623494			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	n_snps_nonzero	623494			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	beta_l2	0.0145249414624889			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.01	spikeslab	n_posterior_samples	500			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	AUC_raw	0.538925619452003	20000	2031	17969
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	AUC_full	0.549954118421411	20000	2031	17969
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	AUC_null	0.52966075745254	20000	2031	17969
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	AUC_incremental	0.0202933609688702	20000	2031	17969
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	pgs_var_mean	4.25501313963216	20000		
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	pgs_var_median	3.09452131848741	20000		
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	n_chains_total	30			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	n_chains_converged	27			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	chains_used_fallback	0			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	ldsc_failed	0			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	h2_init	0.0573070570751374			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	h2_final	0.108023456464874			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	p_final	0.00683578314934601			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	n_snps_total	623494			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	n_snps_nonzero	623494			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	beta_l2	0.238941776729574			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.05	spikeslab	n_posterior_samples	675			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	AUC_raw	0.509196874024465	20000	1967	18033
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	AUC_full	0.543468082903199	20000	1967	18033
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	AUC_null	0.542453843376055	20000	1967	18033
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	AUC_incremental	0.00101423952714375	20000	1967	18033
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	pgs_var_mean	1.49880722923724	20000		
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	pgs_var_median	1.49711165839212	20000		
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	n_chains_total	30			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	n_chains_converged	26			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	chains_used_fallback	0			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	ldsc_failed	0			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	h2_init	0.0427309221298039			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	h2_final	0.052401240863095			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	p_final	0.00568181800588706			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	n_snps_total	623494			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	n_snps_nonzero	623494			
ldpred2	hapnest_public	1	hapnest_AFR	500	binary_prev10	0.05	0.2	spikeslab	beta_l2	0.0544854770535919			
